exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S0309 FIDEL CASTRO,CENTRE WITH 40 CANDIDATES OR MORE,171/3908,1/38,2.4322,KUSINI PEMBA,136,136,0,136,0,0,136,32,79,24,1,0
S0310 FOREST HILL,CENTRE WITH 40 CANDIDATES OR MORE,576/3908,27/176,3.3430,MOROGORO,105,108,0,108,0,0,108,4,29,34,38,3
S0312 HIGHLANDS,CENTRE WITH 40 CANDIDATES OR MORE,1091/3908,44/134,3.7718,IRINGA,122,135,1,134,0,0,134,5,19,32,66,12
S0313 IKIZU,CENTRE WITH 40 CANDIDATES OR MORE,254/3908,8/177,2.7286,MARA,104,104,0,104,0,0,104,19,41,39,5,0
S0314 KAZIMA,CENTRE WITH 40 CANDIDATES OR MORE,423/3908,10/111,3.0944,TABORA,58,60,0,60,0,0,60,10,17,10,21,2
S0316 KIBASILA,CENTRE WITH 40 CANDIDATES OR MORE,184/3908,23/237,2.4748,DAR ES SALAAM,212,217,2,215,0,0,215,84,65,32,31,3
S0317 KIBO,CENTRE WITH LESS THAN 40 CANDIDATES,556/1011,28/41,3.9438,KILIMANJARO,27,30,0,30,0,0,30,1,1,4,21,3
S0318 KIBOHEHE,CENTRE WITH 40 CANDIDATES OR MORE,1588/3908,122/276,3.9166,KILIMANJARO,33,44,1,43,0,0,43,1,6,7,19,10
S0321 KINONDONI,CENTRE WITH LESS THAN 40 CANDIDATES,19/1011,7/62,2.0863,DAR ES SALAAM,27,27,0,27,0,0,27,14,12,1,0,0
S0323 LAKE,CENTRE WITH 40 CANDIDATES OR MORE,188/3908,18/246,2.4859,MWANZA,75,76,1,75,0,0,75,24,29,18,4,0
S0324 LINDI,CENTRE WITH 40 CANDIDATES OR MORE,1006/3908,11/61,3.7326,LINDI,157,166,1,165,0,0,165,6,15,34,102,8
S0325 LUGALO,CENTRE WITH 40 CANDIDATES OR MORE,1883/3908,85/134,3.9788,IRINGA,127,162,8,154,0,0,154,4,13,24,86,27
S0326 LUMUMBA,CENTRE WITH 40 CANDIDATES OR MORE,98/3908,1/66,2.1431,MJINI MAGHARIBI,149,149,0,149,0,0,149,63,81,5,0,0
S0327 MINJA,CENTRE WITH LESS THAN 40 CANDIDATES,405/1011,21/41,3.7631,KILIMANJARO,29,34,1,33,1,0,32,1,2,10,16,3
S0328 MAWENZI,CENTRE WITH 40 CANDIDATES OR MORE,289/3908,36/276,2.8391,KILIMANJARO,138,140,1,139,0,0,139,31,45,31,31,1
S0329 MAKUMIRA,CENTRE WITH 40 CANDIDATES OR MORE,1446/3908,89/178,3.8770,ARUSHA,53,60,0,60,0,0,60,2,2,19,30,7
S0330 MBEYA,CENTRE WITH 40 CANDIDATES OR MORE,708/3908,39/187,3.5102,MBEYA,221,247,1,246,0,0,246,17,52,60,92,25
S0331 MKONGE,CENTRE WITH 40 CANDIDATES OR MORE,1599/3908,20/61,3.9181,LINDI,100,121,5,116,0,0,116,4,9,19,68,16
S0332 MOROGORO,CENTRE WITH 40 CANDIDATES OR MORE,487/3908,25/176,3.1960,MOROGORO,259,291,1,290,0,0,290,54,72,44,89,31
S0333 MWANZA,CENTRE WITH 40 CANDIDATES OR MORE,1198/3908,84/246,3.8053,MWANZA,299,382,9,373,0,0,373,14,49,83,153,74
S0335 MZIZIMA,CENTRE WITH LESS THAN 40 CANDIDATES,320/1011,28/62,3.6092,DAR ES SALAAM,31,35,0,35,0,0,35,2,5,10,14,4
S0340 POPATLAL,CENTRE WITH LESS THAN 40 CANDIDATES,652/1011,24/67,4.0217,TANGA,19,22,0,22,0,0,22,0,3,1,15,3
S0341 SANGU,CENTRE WITH 40 CANDIDATES OR MORE,797/3908,45/187,3.6035,MBEYA,123,152,3,149,22,0,127,5,24,28,66,4
S0342 SHAABAN ROBERT,CENTRE WITH 40 CANDIDATES OR MORE,288/3908,35/237,2.8380,DAR ES SALAAM,132,133,1,132,0,0,132,24,50,32,26,0
S0345 USAGARA,CENTRE WITH 40 CANDIDATES OR MORE,1256/3908,33/215,3.8235,TANGA,196,259,1,258,0,0,258,16,36,47,97,62
S0346 UYUI,CENTRE WITH 40 CANDIDATES OR MORE,1382/3908,51/111,3.8570,TABORA,49,57,1,56,1,0,55,2,1,14,32,6
S0348 TUMAINI,CENTRE WITH 40 CANDIDATES OR MORE,344/3908,7/116,2.9395,SINGIDA,73,76,0,76,0,0,76,13,27,15,18,3
S0349 MANKA,CENTRE WITH LESS THAN 40 CANDIDATES,618/1011,31/41,3.9977,KILIMANJARO,34,38,0,38,0,0,38,0,2,8,24,4
S0353 PARANE,CENTRE WITH 40 CANDIDATES OR MORE,286/3908,35/276,2.8351,KILIMANJARO,56,56,0,56,0,0,56,7,21,28,0,0
S0354 JITENGENI,CENTRE WITH 40 CANDIDATES OR MORE,1489/3908,118/276,3.8876,KILIMANJARO,96,105,1,104,0,0,104,2,3,27,64,8
S0355 LOMWE,CENTRE WITH 40 CANDIDATES OR MORE,570/3908,62/276,3.3346,KILIMANJARO,40,45,0,45,2,0,43,3,12,11,14,3
S0356 VUNJO,CENTRE WITH 40 CANDIDATES OR MORE,957/3908,89/276,3.7080,KILIMANJARO,78,87,1,86,0,0,86,2,11,21,44,8
S0357 URU,CENTRE WITH 40 CANDIDATES OR MORE,358/3908,45/276,2.9597,KILIMANJARO,113,113,0,113,0,0,113,14,33,52,14,0
S0358 SHIGHATINI,CENTRE WITH LESS THAN 40 CANDIDATES,346/1011,20/41,3.6497,KILIMANJARO,18,20,0,20,0,0,20,0,5,4,9,2
S0359 KIGURUNYEMBE,CENTRE WITH 40 CANDIDATES OR MORE,633/3908,30/176,3.4242,MOROGORO,204,220,0,220,14,0,206,8,38,81,77,2
S0360 KISHOJU,CENTRE WITH 40 CANDIDATES OR MORE,2329/3908,137/215,4.0681,KAGERA,126,144,1,143,0,0,143,3,5,12,106,17
S0361 SINGE,CENTRE WITH 40 CANDIDATES OR MORE,528/3908,11/115,3.2737,MANYARA,138,143,2,141,0,0,141,15,29,47,47,3
S0362 IHANJA,CENTRE WITH 40 CANDIDATES OR MORE,912/3908,19/116,3.6801,SINGIDA,73,77,1,76,0,0,76,2,8,23,40,3
S0363 MWADUI,CENTRE WITH 40 CANDIDATES OR MORE,447/3908,11/121,3.1333,SHINYANGA,118,118,0,118,0,0,118,11,30,51,26,0
S0367 KILOSA,CENTRE WITH 40 CANDIDATES OR MORE,387/3908,20/176,3.0211,MOROGORO,155,159,2,157,0,0,157,25,49,42,39,2
S0368 IMBORU,CENTRE WITH 40 CANDIDATES OR MORE,353/3908,3/115,2.9558,MANYARA,41,41,0,41,0,0,41,3,21,10,7,0
S0371 LOMBETA,CENTRE WITH LESS THAN 40 CANDIDATES,184/1011,15/41,3.3082,KILIMANJARO,32,32,0,32,0,0,32,0,12,9,11,0
S0372 KIRUA,CENTRE WITH 40 CANDIDATES OR MORE,575/3908,63/276,3.3394,KILIMANJARO,97,99,0,99,0,0,99,6,19,40,32,2
S0373 ITOPE,CENTRE WITH 40 CANDIDATES OR MORE,2846/3908,155/187,4.1728,MBEYA,73,104,5,99,0,0,99,1,5,11,56,26
S0374 LUPATA,CENTRE WITH 40 CANDIDATES OR MORE,722/3908,40/187,3.5272,MBEYA,53,87,0,87,32,0,55,1,8,22,22,2
S0375 JUMUIYA,CENTRE WITH 40 CANDIDATES OR MORE,2186/3908,57/215,4.0442,TANGA,35,41,2,39,0,0,39,0,2,6,27,4
S0376 SONI SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,138/3908,6/215,2.3422,TANGA,47,47,0,47,0,0,47,13,30,3,1,0
S0378 HEGONGO HOLY CROSS,CENTRE WITH LESS THAN 40 CANDIDATES,373/1011,11/67,3.6977,TANGA,37,38,0,38,0,0,38,1,3,13,20,1
S0380 UCHAMA,CENTRE WITH 40 CANDIDATES OR MORE,237/3908,8/111,2.6752,TABORA,51,51,0,51,0,0,51,4,31,15,1,0
S0381 UTAANI,CENTRE WITH 40 CANDIDATES OR MORE,2679/3908,4/32,4.1381,KASKAZINI PEMBA,155,220,1,219,0,0,219,3,14,41,97,64
S0382 TUMEKUJA,CENTRE WITH 40 CANDIDATES OR MORE,326/3908,12/66,2.9037,MJINI MAGHARIBI,145,145,0,145,0,0,145,7,67,62,9,0
S0383 BEN BELLA,CENTRE WITH 40 CANDIDATES OR MORE,512/3908,19/66,3.2389,MJINI MAGHARIBI,162,166,4,162,0,0,162,2,48,79,33,0
S0384 MIKUNGUNI,CENTRE WITH LESS THAN 40 CANDIDATES,243/1011,7/22,3.4528,MJINI MAGHARIBI,36,37,1,36,0,0,36,0,0,26,10,0
S0385 UJIJI,CENTRE WITH 40 CANDIDATES OR MORE,1480/3908,51/137,3.8867,KIGOMA,94,104,0,104,0,0,104,2,6,24,62,10
S0386 GEITA,CENTRE WITH 40 CANDIDATES OR MORE,1918/3908,54/102,3.9863,GEITA,327,449,12,437,0,0,437,10,33,79,205,110
S0387 KARAGWE,CENTRE WITH 40 CANDIDATES OR MORE,345/3908,22/215,2.9417,KAGERA,66,66,0,66,0,0,66,5,27,24,10,0
S0388 MARANGU,CENTRE WITH 40 CANDIDATES OR MORE,308/3908,37/276,2.8729,KILIMANJARO,220,220,0,220,0,0,220,28,83,79,30,0
S0389 SHAURITANGA,CENTRE WITH 40 CANDIDATES OR MORE,535/3908,59/276,3.2872,KILIMANJARO,91,91,0,91,0,0,91,6,24,31,30,0
S0390 HAMAMNI,CENTRE WITH 40 CANDIDATES OR MORE,3797/3908,55/66,4.5021,MJINI MAGHARIBI,162,276,3,273,0,0,273,0,2,12,148,111
S0391 HAILE SELASSIE,CENTRE WITH 40 CANDIDATES OR MORE,3424/3908,41/66,4.3212,MJINI MAGHARIBI,364,495,13,482,1,0,481,0,4,43,317,117
S0392 VIKOKOTONI,CENTRE WITH 40 CANDIDATES OR MORE,2113/3908,27/66,4.0300,MJINI MAGHARIBI,279,325,14,311,1,0,310,1,7,70,201,31
S0395 BOZA,CENTRE WITH LESS THAN 40 CANDIDATES,857/1011,39/67,4.2659,TANGA,7,11,1,10,0,0,10,0,0,2,5,3
S0397 RULENGE,CENTRE WITH 40 CANDIDATES OR MORE,83/3908,4/215,2.0786,KAGERA,89,89,0,89,0,0,89,48,33,8,0,0
S0400 SHAMIANI,CENTRE WITH 40 CANDIDATES OR MORE,3422/3908,17/38,4.3208,KUSINI PEMBA,217,291,1,290,0,0,290,0,3,27,187,73
S0402 MKWAJUNI,CENTRE WITH 40 CANDIDATES OR MORE,3887/3908,17/23,4.6601,KASKAZINI UNGUJA,113,285,3,282,0,0,282,0,2,10,101,169
S0403 MAKUNDUCHI,CENTRE WITH 40 CANDIDATES OR MORE,3804/3908,19/25,4.5079,KUSINI UNGUJA,108,197,0,197,0,0,197,0,2,12,94,89
S0405 BIHARAMULO,CENTRE WITH 40 CANDIDATES OR MORE,1485/3908,95/215,3.8871,KAGERA,103,121,6,115,0,0,115,2,8,21,72,12
S0406 KASHOZI,CENTRE WITH 40 CANDIDATES OR MORE,1240/3908,75/215,3.8170,KAGERA,137,155,4,151,0,0,151,6,12,27,92,14
S0407 MUGEZA,CENTRE WITH 40 CANDIDATES OR MORE,857/3908,57/215,3.6433,KAGERA,87,90,1,89,0,0,89,4,10,19,54,2
S0409 MORINGE SOKOINE,CENTRE WITH 40 CANDIDATES OR MORE,592/3908,34/178,3.3642,ARUSHA,107,107,0,107,0,0,107,2,23,42,40,0
S0411 KONDE,CENTRE WITH 40 CANDIDATES OR MORE,3774/3908,20/32,4.4806,KASKAZINI PEMBA,141,239,1,238,0,0,238,0,0,19,122,97
S0412 KANGANI,CENTRE WITH 40 CANDIDATES OR MORE,3738/3908,28/38,4.4596,KUSINI PEMBA,120,191,2,189,0,0,189,0,2,12,106,69
S0414 IAMBI,CENTRE WITH 40 CANDIDATES OR MORE,562/3908,10/116,3.3270,SINGIDA,57,59,0,59,0,0,59,3,18,15,21,2
S0417 MWAKALELI,CENTRE WITH 40 CANDIDATES OR MORE,541/3908,24/187,3.2994,MBEYA,58,59,1,58,0,0,58,2,17,15,24,0
S0418 LUTENGANO,CENTRE WITH 40 CANDIDATES OR MORE,626/3908,31/187,3.4159,MBEYA,49,51,0,51,0,0,51,1,18,9,21,2
S0419 CHOME,CENTRE WITH 40 CANDIDATES OR MORE,531/3908,57/276,3.2796,KILIMANJARO,65,66,0,66,1,0,65,0,19,31,15,0
S0420 CHANJALE SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,226/3908,28/276,2.6429,KILIMANJARO,60,60,0,60,0,0,60,14,23,19,4,0
S0423 BULIMA,CENTRE WITH 40 CANDIDATES OR MORE,466/3908,7/100,3.1624,SIMIYU,39,69,3,66,27,0,39,1,15,13,10,0
S0426 WANGING'OMBE,CENTRE WITH 40 CANDIDATES OR MORE,1383/3908,50/95,3.8570,NJOMBE,178,197,4,193,0,0,193,2,20,38,118,15
S0427 MAKAMBAKO,CENTRE WITH 40 CANDIDATES OR MORE,1211/3908,43/95,3.8100,NJOMBE,174,205,4,201,0,0,201,7,22,29,116,27
S0428 MPECHI,CENTRE WITH 40 CANDIDATES OR MORE,831/3908,24/95,3.6268,NJOMBE,106,112,2,110,0,0,110,1,20,27,58,4
S0429 LUPEMBE,CENTRE WITH 40 CANDIDATES OR MORE,2604/3908,82/95,4.1216,NJOMBE,47,62,2,60,0,0,60,0,3,9,35,13
S0430 UWEMBA,CENTRE WITH 40 CANDIDATES OR MORE,1929/3908,65/95,3.9894,NJOMBE,155,175,1,174,0,0,174,1,6,30,118,19
S0431 MTWANGO,CENTRE WITH 40 CANDIDATES OR MORE,749/3908,21/95,3.5586,NJOMBE,46,48,2,46,0,0,46,1,8,12,25,0
S0432 JABAL-HIRA MUSLIM JUNIOR SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,347/1011,20/59,3.6507,MOROGORO,27,30,1,29,0,0,29,0,3,12,12,2
S0435 BISHOP MOSHI,CENTRE WITH LESS THAN 40 CANDIDATES,553/1011,27/41,3.9383,KILIMANJARO,31,34,0,34,0,0,34,0,2,8,21,3
S0436 KAFULE,CENTRE WITH 40 CANDIDATES OR MORE,1631/3908,32/86,3.9239,SONGWE,59,64,0,64,0,0,64,0,4,12,43,5
S0438 MASJID QUBAH MUSLIM SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,545/3908,60/237,3.3056,DAR ES SALAAM,9,68,2,66,57,0,9,0,2,4,3,0
S0439 BUPANDAGILA,CENTRE WITH 40 CANDIDATES OR MORE,294/3908,5/100,2.8507,SIMIYU,65,66,1,65,0,0,65,8,27,28,2,0
S0441 KILWA,CENTRE WITH 40 CANDIDATES OR MORE,2248/3908,33/61,4.0546,LINDI,93,122,2,120,0,0,120,0,16,10,67,27
S0442 BUHANGIJA,CENTRE WITH 40 CANDIDATES OR MORE,1889/3908,65/121,3.9802,SHINYANGA,75,93,1,92,0,0,92,2,6,18,49,17
S0443 META,CENTRE WITH 40 CANDIDATES OR MORE,688/3908,36/187,3.4925,MBEYA,60,71,5,66,3,0,63,2,14,18,26,3
S0444 ITAMBA,CENTRE WITH 40 CANDIDATES OR MORE,698/3908,18/95,3.5032,NJOMBE,40,42,0,42,0,0,42,1,11,13,15,2
S0445 MWEMBETOGWA,CENTRE WITH LESS THAN 40 CANDIDATES,210/1011,12/29,3.3695,IRINGA,25,25,0,25,0,0,25,1,7,6,11,0
S0446 MGOLOLO,CENTRE WITH 40 CANDIDATES OR MORE,1302/3908,52/134,3.8362,IRINGA,107,126,2,124,0,0,124,2,13,31,61,17
S0447 MDABULO,CENTRE WITH 40 CANDIDATES OR MORE,1692/3908,76/134,3.9358,IRINGA,141,158,5,153,0,0,153,4,9,27,101,12
S0448 SADANI,CENTRE WITH 40 CANDIDATES OR MORE,817/3908,34/134,3.6171,IRINGA,148,155,1,154,0,0,154,4,24,48,72,6
S0449 J.J.MUNGAI,CENTRE WITH 40 CANDIDATES OR MORE,627/3908,26/134,3.4166,IRINGA,179,190,4,186,0,0,186,15,35,53,76,7
S0450 USOKE,CENTRE WITH 40 CANDIDATES OR MORE,470/3908,13/111,3.1698,TABORA,35,43,0,43,8,0,35,4,7,13,11,0
S0451 ENDAROFTA,CENTRE WITH LESS THAN 40 CANDIDATES,187/1011,21/46,3.3134,ARUSHA,37,37,0,37,0,0,37,2,8,16,11,0
S0452 MADUNGA,CENTRE WITH 40 CANDIDATES OR MORE,356/3908,4/115,2.9595,MANYARA,45,45,0,45,0,0,45,6,15,19,5,0
S0453 DONGOBESH,CENTRE WITH 40 CANDIDATES OR MORE,386/3908,7/115,3.0186,MANYARA,46,46,0,46,0,0,46,6,16,16,8,0
S0454 ST. JOSEPH NGARENARO,CENTRE WITH 40 CANDIDATES OR MORE,246/3908,17/178,2.7054,ARUSHA,50,50,0,50,0,0,50,9,25,9,7,0
S0455 TWEYAMBE,CENTRE WITH LESS THAN 40 CANDIDATES,342/1011,14/30,3.6419,KAGERA,37,39,0,39,0,0,39,1,5,12,19,2
S0456 KINANGO,CENTRE WITH 40 CANDIDATES OR MORE,1043/3908,70/246,3.7523,MWANZA,232,276,6,270,0,0,270,9,29,62,132,38
S0457 IGAWILO,CENTRE WITH 40 CANDIDATES OR MORE,699/3908,37/187,3.5042,MBEYA,155,167,0,167,0,0,167,7,37,44,67,12
S0459 NATIRO,CENTRE WITH 40 CANDIDATES OR MORE,348/3908,44/276,2.9459,KILIMANJARO,72,72,0,72,0,0,72,8,22,35,7,0
S0460 IRAMBO,CENTRE WITH 40 CANDIDATES OR MORE,1301/3908,81/187,3.8360,MBEYA,56,66,4,62,0,0,62,1,6,14,35,6
S0461 JOHN PAUL II KAHAMA,CENTRE WITH 40 CANDIDATES OR MORE,256/3908,6/121,2.7306,SHINYANGA,110,111,1,110,0,0,110,19,39,47,5,0
S0462 WIGEHE,CENTRE WITH LESS THAN 40 CANDIDATES,331/1011,5/19,3.6254,SHINYANGA,38,38,0,38,0,0,38,0,4,14,20,0
S0463 NGOREME,CENTRE WITH 40 CANDIDATES OR MORE,2312/3908,69/177,4.0652,MARA,76,104,1,103,0,0,103,0,9,18,49,27
S0464 KILOMBERO,CENTRE WITH 40 CANDIDATES OR MORE,3573/3908,160/176,4.3756,MOROGORO,117,206,2,204,0,0,204,1,9,10,97,87
S0465 JAMHURI,CENTRE WITH 40 CANDIDATES OR MORE,953/3908,29/152,3.7067,DODOMA,115,122,3,119,0,0,119,3,16,21,75,4
S0467 NYUKI,CENTRE WITH 40 CANDIDATES OR MORE,1757/3908,26/66,3.9501,MJINI MAGHARIBI,52,56,1,55,0,0,55,0,1,15,36,3
S0468 KIRIKI,CENTRE WITH LESS THAN 40 CANDIDATES,632/1011,32/41,4.0082,KILIMANJARO,16,22,0,22,0,0,22,1,1,4,10,6
S0471 MBOZI,CENTRE WITH 40 CANDIDATES OR MORE,559/3908,13/86,3.3245,SONGWE,38,40,2,38,0,0,38,1,8,17,12,0
S0472 IPINDA,CENTRE WITH 40 CANDIDATES OR MORE,2586/3908,144/187,4.1192,MBEYA,145,189,3,186,0,0,186,4,6,29,106,41
S0473 KANYIGO,CENTRE WITH 40 CANDIDATES OR MORE,129/3908,9/215,2.2988,KAGERA,206,206,0,206,0,0,206,81,84,41,0,0
S0474 KISOMACHI,CENTRE WITH 40 CANDIDATES OR MORE,657/3908,67/276,3.4543,KILIMANJARO,87,93,0,93,0,0,93,3,21,29,34,6
S0475 KIDIA,CENTRE WITH LESS THAN 40 CANDIDATES,526/1011,25/41,3.9110,KILIMANJARO,33,38,0,38,0,0,38,1,2,12,18,5
S0476 MWANGAZA,CENTRE WITH 40 CANDIDATES OR MORE,1896/3908,20/33,3.9823,KATAVI,165,212,2,210,0,0,210,5,18,32,110,45
S0477 CHIMALA,CENTRE WITH 40 CANDIDATES OR MORE,3001/3908,162/187,4.2127,MBEYA,32,45,2,43,0,0,43,1,0,7,24,11
S0478 KIPOKE,CENTRE WITH 40 CANDIDATES OR MORE,3908/3908,187/187,4.9375,MBEYA,0,197,2,195,194,0,1,0,0,0,0,1
S0479 NRONGA,CENTRE WITH 40 CANDIDATES OR MORE,589/3908,64/276,3.3601,KILIMANJARO,49,55,4,51,0,0,51,1,19,7,22,2
S0480 NSOO,CENTRE WITH 40 CANDIDATES OR MORE,490/3908,54/276,3.2000,KILIMANJARO,84,86,2,84,0,0,84,5,24,33,22,0
S0482 ILUHYA,CENTRE WITH 40 CANDIDATES OR MORE,239/3908,19/215,2.6801,KAGERA,81,82,1,81,0,0,81,14,43,17,7,0
S0484 MKINGA,CENTRE WITH 40 CANDIDATES OR MORE,497/3908,14/137,3.2139,RUVUMA,52,52,0,52,0,0,52,6,9,18,19,0
S0485 MAJENGO,CENTRE WITH 40 CANDIDATES OR MORE,458/3908,52/276,3.1505,KILIMANJARO,294,309,8,301,0,0,301,30,90,80,94,7
S0486 UOMBONI,CENTRE WITH 40 CANDIDATES OR MORE,772/3908,77/276,3.5846,KILIMANJARO,75,79,1,78,0,0,78,0,14,26,35,3
S0487 MADUNDA,CENTRE WITH 40 CANDIDATES OR MORE,3292/3908,94/95,4.2780,NJOMBE,77,117,5,112,0,0,112,0,4,11,62,35
S0488 RUTABO,CENTRE WITH 40 CANDIDATES OR MORE,2380/3908,141/215,4.0784,KAGERA,116,148,1,147,0,0,147,2,13,17,84,31
S0489 SUJI,CENTRE WITH 40 CANDIDATES OR MORE,141/3908,21/276,2.3493,KILIMANJARO,55,55,0,55,0,0,55,15,38,2,0,0
S0490 SHEMSANGA,CENTRE WITH 40 CANDIDATES OR MORE,1445/3908,35/215,3.8766,TANGA,53,71,2,69,0,0,69,1,9,16,27,16
S0491 KILOMENI,CENTRE WITH 40 CANDIDATES OR MORE,212/3908,27/276,2.6057,KILIMANJARO,93,93,0,93,0,0,93,20,42,26,5,0
S0492 KISHUMUNDU,CENTRE WITH 40 CANDIDATES OR MORE,761/3908,74/276,3.5727,KILIMANJARO,47,51,0,51,0,0,51,1,13,8,25,4
S0493 AL-HARAMAIN ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,425/3908,47/237,3.0996,DAR ES SALAAM,49,49,0,49,0,0,49,2,20,18,9,0
S0495 MILALA,CENTRE WITH 40 CANDIDATES OR MORE,676/3908,3/33,3.4729,KATAVI,23,40,1,39,16,0,23,1,4,8,10,0
S0496 JITEGEMEE,CENTRE WITH 40 CANDIDATES OR MORE,1984/3908,126/237,4.0021,DAR ES SALAAM,296,410,16,394,23,0,371,7,26,61,202,75
S0498 DINDIMO,CENTRE WITH LESS THAN 40 CANDIDATES,642/1011,33/41,4.0150,KILIMANJARO,22,36,9,27,0,0,27,1,0,8,13,5
S0499 OLALENI,CENTRE WITH 40 CANDIDATES OR MORE,325/3908,41/276,2.9030,KILIMANJARO,139,139,0,139,0,0,139,13,60,50,16,0
S0500 WANIKE,CENTRE WITH 40 CANDIDATES OR MORE,1570/3908,56/95,3.9105,NJOMBE,124,136,0,136,0,0,136,2,12,19,91,12
S0501 UWELENI,CENTRE WITH 40 CANDIDATES OR MORE,3112/3908,10/38,4.2355,KUSINI PEMBA,210,263,2,261,0,0,261,0,2,36,172,51
S0503 LYAKIRIMU,CENTRE WITH 40 CANDIDATES OR MORE,889/3908,85/276,3.6661,KILIMANJARO,168,196,3,193,0,0,193,7,34,37,90,25
S0504 MRIKE,CENTRE WITH 40 CANDIDATES OR MORE,417/3908,48/276,3.0815,KILIMANJARO,87,87,0,87,0,0,87,5,35,29,18,0
S0505 EKENYWA,CENTRE WITH LESS THAN 40 CANDIDATES,322/1011,28/46,3.6131,ARUSHA,38,39,0,39,0,0,39,1,4,15,18,1
S0506 UNGWASI,CENTRE WITH 40 CANDIDATES OR MORE,681/3908,68/276,3.4778,KILIMANJARO,80,80,0,80,0,0,80,1,18,27,34,0
S0507 ITENGULE,CENTRE WITH 40 CANDIDATES OR MORE,692/3908,30/134,3.4958,IRINGA,79,81,1,80,0,0,80,2,18,26,33,1
S0508 MLAMA,CENTRE WITH 40 CANDIDATES OR MORE,434/3908,50/276,3.1118,KILIMANJARO,97,98,1,97,0,0,97,8,31,33,25,0
S0509 UCHIRA,CENTRE WITH 40 CANDIDATES OR MORE,1618/3908,124/276,3.9214,KILIMANJARO,37,50,0,50,0,0,50,3,6,9,19,13
S0510 HOROMBO,CENTRE WITH 40 CANDIDATES OR MORE,758/3908,73/276,3.5714,KILIMANJARO,126,147,1,146,0,0,146,10,29,38,49,20
S0511 HANDENI,CENTRE WITH 40 CANDIDATES OR MORE,1930/3908,46/215,3.9895,TANGA,195,225,0,225,0,1,224,3,14,34,144,29
S0513 MIHAYO,CENTRE WITH 40 CANDIDATES OR MORE,340/3908,9/111,2.9298,TABORA,133,134,1,133,0,0,133,11,56,44,22,0
S0514 UROKI,CENTRE WITH 40 CANDIDATES OR MORE,834/3908,81/276,3.6270,KILIMANJARO,63,65,0,65,1,0,64,2,6,28,27,1
S0515 ILULA,CENTRE WITH 40 CANDIDATES OR MORE,1877/3908,84/134,3.9767,IRINGA,112,134,2,132,0,0,132,1,14,20,77,20
S0516 MOMBO,CENTRE WITH LESS THAN 40 CANDIDATES,343/1011,10/67,3.6429,TANGA,20,21,0,21,0,0,21,0,2,9,9,1
S0517 KILI,CENTRE WITH 40 CANDIDATES OR MORE,1110/3908,37/111,3.7795,TABORA,59,68,1,67,0,0,67,2,8,14,35,8
S0518 KANAWA,CENTRE WITH 40 CANDIDATES OR MORE,571/3908,14/121,3.3347,SHINYANGA,102,103,1,102,0,0,102,2,18,60,22,0
S0519 LALAGO,CENTRE WITH 40 CANDIDATES OR MORE,468/3908,8/100,3.1647,SIMIYU,78,81,2,79,0,0,79,11,16,27,24,1
S0520 BUYANGO,CENTRE WITH 40 CANDIDATES OR MORE,2856/3908,170/215,4.1756,KAGERA,60,81,2,79,0,0,79,1,4,4,51,19
S0521 MATOMBO,CENTRE WITH 40 CANDIDATES OR MORE,1421/3908,61/176,3.8692,MOROGORO,65,68,0,68,0,0,68,0,6,12,47,3
S0523 NAMTUMBO,CENTRE WITH LESS THAN 40 CANDIDATES,287/1011,10/53,3.5325,RUVUMA,20,20,0,20,0,0,20,0,4,7,9,0
S0524 RUJEWA,CENTRE WITH 40 CANDIDATES OR MORE,1862/3908,106/187,3.9741,MBEYA,215,264,4,260,0,0,260,6,19,49,141,45
S0525 MKONOWAMARA,CENTRE WITH LESS THAN 40 CANDIDATES,869/1011,46/59,4.2827,MOROGORO,20,26,0,26,0,0,26,0,0,3,17,6
S0526 MRINGA,CENTRE WITH 40 CANDIDATES OR MORE,2377/3908,138/178,4.0772,ARUSHA,200,240,3,237,0,0,237,4,8,36,152,37
S0527 ULAYASI,CENTRE WITH 40 CANDIDATES OR MORE,3347/3908,95/95,4.2926,NJOMBE,59,84,1,83,0,0,83,0,3,6,50,24
S0528 SABA SABA,CENTRE WITH 40 CANDIDATES OR MORE,972/3908,18/118,3.7169,MTWARA,103,112,4,108,0,0,108,3,18,23,59,5
S0530 NDWIKA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,836/3908,15/118,3.6289,MTWARA,78,90,0,90,0,0,90,8,13,18,39,12
S0531 RUAHA,CENTRE WITH 40 CANDIDATES OR MORE,628/3908,27/134,3.4166,IRINGA,43,45,0,45,0,0,45,3,7,16,17,2
S0533 SARWATT,CENTRE WITH 40 CANDIDATES OR MORE,1229/3908,38/115,3.8155,MANYARA,184,225,3,222,0,0,222,10,26,46,102,38
